25,25,25,25,25,25,25,25,25,29,-1,-1,-1,-1,-1,28,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
25,25,25,25,25,25,25,25,25,29,-1,-1,-1,-1,-1,28,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
25,25,25,25,25,25,25,25,25,29,-1,-1,-1,-1,-1,28,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
25,25,25,25,25,25,25,25,25,29,-1,-1,-1,-1,-1,28,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
25,25,25,25,25,25,25,25,25,29,-1,-1,-1,-1,-1,28,25,25,32,26,33,25,25,25,25,25,25,25,25,25,25,25
25,25,25,25,25,25,25,25,25,29,-1,-1,-1,-1,-1,28,25,25,28,25,29,25,25,25,25,25,25,25,25,25,25,25
25,25,25,25,25,25,25,25,25,29,-1,-1,-1,-1,-1,28,25,25,34,27,35,25,25,43,27,27,27,27,27,27,27,27
25,25,25,25,25,25,25,25,25,29,-1,-1,-1,-1,-1,28,25,25,25,25,25,25,25,29,4,-1,-1,-1,-1,-1,-1,-1
27,27,27,27,27,27,27,27,27,35,-1,-1,-1,-1,-1,28,25,25,25,24,25,25,25,29,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,25,25,25,24,25,25,25,29,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,25,25,25,24,25,25,25,29,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,25,25,25,24,25,25,25,29,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,25,25,43,24,42,25,25,29,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,25,24,25,24,25,24,25,29,-1,-1,-1,-1,-1,-1,0,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,25,41,24,24,24,40,25,29,-1,-1,-1,-1,-1,-1,2,3
-1,-1,-1,-1,-1,-1,-1,-1,-1,32,26,26,26,33,-1,28,25,25,41,24,40,25,25,29,-1,-1,-1,-1,-1,-1,32,26
-1,-1,-1,-1,-1,-1,-1,-1,-1,28,25,25,25,29,-1,28,25,25,25,25,25,25,25,29,-1,-1,-1,-1,-1,-1,28,25
-1,-1,-1,-1,-1,-1,-1,-1,-1,28,25,25,25,29,-1,34,27,27,27,27,27,27,27,35,-1,-1,-1,-1,-1,-1,28,25
-1,-1,-1,-1,-1,-1,-1,-1,-1,28,25,25,25,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,25
-1,-1,-1,-1,-1,-1,24,-1,-1,28,25,25,25,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,-1,-1,28,25
-1,-1,-1,-1,-1,-1,-1,-1,-1,28,25,25,25,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,25
-1,-1,-1,-1,-1,-1,-1,-1,7,28,25,25,25,29,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,28,25
26,26,26,26,26,26,26,26,26,40,25,25,25,41,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,40,25
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
3
32,672,10
128,672,0
352,448,0
